English,Sinhala
Partial access to computer systems,පරිගණක පද්ධතියේ කොටස් වෙත ප්‍රවේශය
Substance of digital information,ඩිජිටල් තොරතුරුවල අර්ථය
Acquisition of data meaning,දත්ත අර්ථය ලබාගැනීම
Communication within computer networks,පරිගණක ජාල තුළ සන්නිවේදනය
Use of subscriber traffic records,ග්‍රාහක ගමනාගමන වාර්තා භාවිතය
Preservation of digital records,ඩිජිටල් වාර්තා ආරක්ෂා කිරීම
Controlled access environment,පාලනය කරන ලද ප්‍රවේශ පරිසරය
Cyber security regulatory authority,සයිබර් ආරක්ෂණ නියාමන අධිකාරිය
Civilian aspects of cyber security,පුරවැසි සයිබර් ආරක්ෂණ අංශ
National cyber security strategies,ජාතික සයිබර් ආරක්ෂණ උපායමාර්ග
Cyber security policies,සයිබර් ආරක්ෂණ ප්‍රතිපත්ති
Cyber security threats and incidents,සයිබර් තර්ජන සහ සිද්ධි
Secure cyber environment,ආරක්ෂිත සයිබර් පරිසරය
Critical national information infrastructure,ජාතික මූලික තොරතුරු යටිතලය
Cyber incident response functions,සයිබර් සිද්ධි ප්‍රතිචාර ක්‍රියාකාරකම්
Sectoral incident response teams,ක්ෂේත්‍රානුකූල ප්‍රතිචාර කණ්ඩායම්
Cyber security operation centre,සයිබර් ආරක්ෂණ මෙහෙයුම් මධ්‍යස්ථානය
Cyber threat indicators,සයිබර් තර්ජන සංඥා
Defensive cyber measures,සයිබර් ආරක්ෂක ක්‍රියාමාර්ග
Cyber security risk analysis,සයිබර් අවදානම් විශ්ලේෂණය
Removal of malicious programs,හිතාමතා හානිකර වැඩසටහන් ඉවත් කිරීම
Client computer protection,ග්‍රාහක පරිගණක ආරක්ෂාව
Cyber security compliance reports,සයිබර් අනුකූලතා වාර්තා
International cyber cooperation,අන්තර්ජාතික සයිබර් සහයෝගිතාව
Cyber security training programs,සයිබර් පුහුණු වැඩසටහන්
Awareness on cyber risks,සයිබර් අවදානම් පිළිබඳ අවබෝධය
Cyber security service accreditation,සයිබර් සේවා අනුමත කිරීම
Vulnerability assessments and penetration testing,දුර්වලතා පරීක්ෂණ සහ ප්‍රවේශ පරීක්ෂණ
Cyber security forensic investigations,සයිබර් සාක්ෂි පරීක්ෂණ
Cyber security advisory services,සයිබර් උපදේශන සේවාවන්
Design and implementation of security solutions,ආරක්ෂක විසඳුම් සැලසුම් කිරීම සහ ක්‍රියාත්මක කිරීම
Cyber security service providers,සයිබර් සේවා සැපයුම්කරුවන්
Operational technology systems,ක්‍රියාත්මක තාක්ෂණ පද්ධති
Information in transit and storage,ප්‍රවාහනය සහ ගබඩා තොරතුරු
Protection against unauthorized access,අනවසර ප්‍රවේශයට එරෙහි ආරක්ෂාව
Cyber security incident reporting,සයිබර් සිද්ධි වාර්තා කිරීම
Online safety commission,මාර්ගගත ආරක්ෂණ කොමිෂන් සභාව
Prohibited online statement,තහනම් මාර්ගගත ප්‍රකාශය
False statement online,මාර්ගගත අසත්‍ය ප්‍රකාශය
Online account misuse,මාර්ගගත ගිණුම් අනිසි භාවිතය
Inauthentic online account,නොසත්‍ය මාර්ගගත ගිණුම
Declared online location,ප්‍රකාශිත මාර්ගගත ස්ථානය
Communication of prohibited statements,තහනම් ප්‍රකාශ සන්නිවේදනය
Online location operator,මාර්ගගත ස්ථාන ක්‍රියාකරු
Internet based communication services,අන්තර්ජාල පදනම් සන්නිවේදන සේවා
End users in Sri Lanka,ශ්‍රී ලංකාවේ අවසාන පරිශීලකයන්
Opportunity of responding,ප්‍රතිචාර දැක්වීමේ අවස්ථාව
Disable access to online location,මාර්ගගත ස්ථානයට ප්‍රවේශය අක්‍රිය කිරීම
Remove prohibited statement,තහනම් ප්‍රකාශය ඉවත් කිරීම
Online portal for public information,මහජන තොරතුරු සඳහා මාර්ගගත ද්වාරය
Code of practice,ක්‍රියාචාර සංග්‍රහය
Social media platform registration,සමාජ මාධ්‍ය වේදිකා ලියාපදිංචිය
Contempt of court statement,අධිකරණයට අපහාස වන ප්‍රකාශය
Religious feelings,ආගමික හැඟීම්
Online cheating by personation,පුද්ගල ලෙස පෙනී සිටිමින් මාර්ගගත වංචාව
Private information publication,පුද්ගලික තොරතුරු ප්‍රකාශනය
Coordinated inauthentic behaviour,සම්බන්ධීකෘත නොසත්‍ය හැසිරීම
Paid content on declared locations,ප්‍රකාශිත ස්ථානවල ගෙවූ අන්තර්ගතය
Disclosure of identity information,අනන්‍යතා තොරතුරු හෙළි කිරීම
Court order to prevent circulation,ප්‍රචාරණය වැළැක්වීමේ අධිකරණ නියෝගය
Electronic transaction system,විද්‍යුත් ගනුදෙනු පද්ධතිය
Electronic record recognition,විද්‍යුත් වාර්තා පිළිගැනීම
Legal validity of electronic records,විද්‍යුත් වාර්තා වල නීතිමය වලංගුභාවය
Electronic document format,විද්‍යුත් ලේඛන ආකෘතිය
Electronic signature authentication,විද්‍යුත් අත්සන සත්‍යාපනය
Data message integrity,දත්ත පණිවිඩ අඛණ්ඩතාව
Reliable electronic communication,විශ්වාසනීය විද්‍යුත් සන්නිවේදනය
Retention of electronic records,විද්‍යුත් වාර්තා රඳවා තබාගැනීම
Accessibility for future reference,අනාගත යොමු සඳහා ප්‍රවේශය
Originator of data message,දත්ත පණිවිඩයේ මූලාශ්‍රකරු
Addressee of communication,සන්නිවේදනය ලබන්නා
Automated information system,ස්වයංක්‍රීය තොරතුරු පද්ධතිය
Acknowledgement of receipt,ලැබීම තහවුරු කිරීම
Time of dispatch and receipt,යැවීම හා ලැබීමේ වේලාව
Electronic contract formation,විද්‍යුත් ගිවිසුම් නිර්මාණය
Offer and acceptance electronically,විද්‍යුත් ලෙස ඉදිරිපත් කිරීම සහ පිළිගැනීම
Certification service provider,සහතික සේවා සපයන්නා
Accreditation criteria,අනුමත කිරීමේ මাপকය
Electronic evidence admissibility,විද්‍යුත් සාක්ෂි පිළිගැනීම
Integrity of electronic information,විද්‍යුත් තොරතුරු අඛණ්ඩතාව
Confidential electronic processing,රහස්‍ය විද්‍යුත් සැකසීම
Secure electronic infrastructure,ආරක්ෂිත විද්‍යුත් යටිතලය
Electronic communication reliability,විද්‍යුත් සන්නිවේදන විශ්වාසනීයභාවය
Legal recognition of contracts,ගිවිසුම් නීතිමය පිළිගැනීම
Payment device fraud offence,ගෙවීම් උපාංග වංචා අපරාධය
Unauthorized possession of device,අනවසර උපාංග අයිති කරගැනීම
Counterfeit payment device usage,නකල් ගෙවීම් උපාංග භාවිතය
Fraudulent application for device,වංචාකාරී උපාංග අයදුම
Cardholder information disclosure,කාඩ් හිමිකරු තොරතුරු හෙළි කිරීම
Transaction data recording devices,ගනුදෙනු දත්ත பதிவு උපකරණ
Point of sale network,විකුණුම් ස්ථාන ජාලය
Automated teller machine network,ATM ජාලය
Unauthorized transaction processing,අනවසර ගනුදෙනු සැකසීම
Fraudulent merchant application,වංචාකාරී වෙළෙන්දා අයදුම
Payment device account generation,ගිණුම් අංක නිර්මාණය
Use of stolen payment device,සොරකම් කළ උපාංග භාවිතය
Financial advantage through fraud,වංචාවෙන් ලැබෙන මූල්‍ය වාසි
False transaction records,අසත්‍ය ගනුදෙනු වාර්තා
Multiple transaction imprints,බහු ගනුදෙනු මුද්‍රණ
Acceptance of unauthorized payment,අනවසර ගෙවීම් පිළිගැනීම
Investigation of fraud offences,වංචා අපරාධ පරීක්ෂණය
Expert assistance in investigation,පරීක්ෂණයට විශේෂඥ සහාය
Search and seizure operations,සෙවීම සහ අත්අඩංගුවට ගැනීම
Disclosure of traffic data,ගමනාගමන දත්ත හෙළි කිරීම
Confidential handling of information,රහස්‍ය තොරතුරු හැසිරවීම
Legal presumption of fraud,වංචාව පිළිබඳ නීතිමය අනුමානය
Compensation for financial loss,මූල්‍ය හානි සඳහා වන්දි
Extradition of offenders,අපරාධකරුවන් පිටුදැකීම
Mutual legal assistance,අන්‍යෝන්‍ය නීතිමය සහාය
Consumer protection mechanism,පාරිභෝගික ආරක්ෂණ ක්‍රමවේදය
Fair trade practices,සාධාරණ වෙළඳාම
Restrictive trade practices,සීමිත වෙළඳාම
Anti competitive conduct,ප්‍රතිතරඟකාරී හැසිරීම
Market competition promotion,වෙළඳපොළ තරඟ ප්‍රවර්ධනය
Consumer rights protection,පාරිභෝගික අයිතිවාසිකම් ආරක්ෂාව
Price control mechanism,මිල පාලන ක්‍රමය
Labelling and price marking,ලේබල් සහ මිල සලකුණු කිරීම
Standards and specifications compliance,ප්‍රමිතීන්ට අනුකූල වීම
Supply of goods and services,භාණ්ඩ සහ සේවා සැපයීම
Complaint handling procedure,පැමිණිලි සකස් කිරීමේ ක්‍රියාවලිය
Consumer redress mechanism,පාරිභෝගික නීතිමය පිළිතුරු ක්‍රමය
Refund and replacement policy,මුදල් ආපසු සහ භාණ්ඩ මාරු ප්‍රතිපත්තිය
Maximum retail price control,උපරිම සිල්ලර මිල පාලනය
Display of price list,මිල ලැයිස්තුව ප්‍රදර්ශනය
Issuing receipts to customers,පාරිභෝගිකයන්ට රසිදු නිකුත් කිරීම
Misleading business conduct,භ്രമණීය ව්‍යාපාර හැසිරීම
False representation of goods,භාණ්ඩ පිළිබඳ අසත්‍ය ප්‍රකාශය
Consumer complaint inquiry,පාරිභෝගික පැමිණිලි පරීක්ෂණය
Market investigation process,වෙළඳපොළ විමර්ශන ක්‍රියාවලිය
Public sector efficiency study,රාජ්‍ය අංශ කාර්යක්ෂමතා අධ්‍යයනය
Private sector performance review,පෞද්ගලික අංශ විගණනය
Authority investigation powers,අධිකාරියේ විමර්ශන බලතල
Confidential information handling,රහස්‍ය තොරතුරු කළමනාකරණය
Monitoring of data subjects behaviour,දත්ත හිමිකරුගේ හැසිරීම නිරීක්ෂණය
Processing by automated means,ස්වයංක්‍රීය ක්‍රම මගින් දත්ත සැකසීම
Manual processing of data,අත්‍යන්තර දත්ත සැකසීම
Processing activities outside the Union,සංගමයෙන් පිටත දත්ත සැකසීම
Offering goods or services to data subjects,දත්ත හිමිකරුවන්ට සේවා හෝ භාණ්ඩ සැපයීම
Tracking of online identifiers,මාර්ගගත හඳුනාගැනීම් පසුබැසීම
Use of profiling techniques,පැතිකඩ තාක්ෂණ භාවිතය
Identification of natural persons,ස්වාභාවික පුද්ගලයන් හඳුනාගැනීම
Anonymous information processing,අනන්‍ය නොවන තොරතුරු සැකසීම
Pseudonymised data handling,අර්ධ අනන්‍යකරණ දත්ත කළමනාකරණය
Legal obligation for processing,සංස්කරණයට නීතිමය බැඳීම
Public interest data processing,මහජන උනන්දුව සඳහා දත්ත සැකසීම
Exercise of official authority,නිල බලය ක්‍රියාත්මක කිරීම
Consent based processing,අනුමැතිය මත දත්ත සැකසීම
Contractual necessity for processing,ගිවිසුම් අවශ්‍යතාව මත සැකසීම
Protection of vital interests,ජීවිතාත්මක අවශ්‍යතා ආරක්ෂාව
Legitimate interest balancing test,නීතිමය උනන්දුව සමාන කිරීම
Direct marketing activities,සෘජු වෙළඳ ප්‍රචාරණ ක්‍රියාකාරකම්
Fraud prevention processing,වංචා වැළැක්වීම සඳහා සැකසීම
Network security measures,ජාල ආරක්ෂණ ක්‍රියාමාර්ග
Processing for research purposes,පර්යේෂණ සඳහා දත්ත සැකසීම
Statistical data processing,සංඛ්‍යානමය දත්ත සැකසීම
Archiving in public interest,මහජන උනන්දුව සඳහා දත්ත ගබඩා කිරීම
Further processing compatibility,ඉදිරියට සැකසීමේ ගැලපීම
Telecommunication regulatory authority,දුරකථන නියාමන අධිකාරිය
Provision of telecommunication services,දුරකථන සේවා සැපයීම
Efficient telecommunication network,කාර්යක්ෂම දුරකථන ජාලය
National telecommunication system,ජාතික සන්නිවේදන පද්ධතිය
Licensing of telecommunication operators,ක්‍රියාකරුවන්ට අනුමති ලබාදීම
Radio frequency spectrum management,ආවර්තන පරාස කළමනාකරණය
Assignment of frequency bands,ආවර්තන කණ්ඩායම් පවරා දීම
Technical standards compliance,තාක්ෂණික ප්‍රමිතීන්ට අනුකූල වීම
Interconnection of networks,ජාල අන්තර් සම්බන්ධතාව
Access to telecommunication systems,සන්නිවේදන පද්ධතිවලට ප්‍රවේශය
Quality of service standards,සේවා ගුණාත්මක ප්‍රමිතීන්
Tariff approval mechanism,ගාස්තු අනුමත කිරීමේ ක්‍රමය
Non discriminatory access,අසමාන නොවන ප්‍රවේශය
Public interest protection,මහජන හිත ආරක්ෂාව
Complaint investigation process,පැමිණිලි විමර්ශන ක්‍රියාවලිය
Dispute resolution mechanism,විවාද විසඳීමේ ක්‍රමය
Market competition regulation,වෙළඳපොළ තරඟ නියාමනය
Licence conditions enforcement,අනුමති කොන්දේසි බලගන්වීම
Inspection and monitoring powers,පරීක්ෂණ සහ නිරීක්ෂණ බලතල
Public hearing procedure,මහජන සවන් දීමේ ක්‍රියාවලිය
Submission of financial reports,මූල්‍ය වාර්තා ඉදිරිපත් කිරීම
Confidential information protection,රහස්‍ය තොරතුරු ආරක්ෂාව
Telecommunication infrastructure sharing,යටිතල බෙදාගැනීම
Relevant facts in issue,විවාදයේ අදාළ කරුණු
Oral evidence given by witnesses,සාක්ෂිකරුවන් විසින් ලබාදෙන වාචික සාක්ෂි
Documentary evidence submitted to court,අධිකරණයට ඉදිරිපත් කරන ලේඛන සාක්ෂි
Facts forming part of same transaction,එකම ගනුදෙනුවේ කොටස් වන කරුණු
Facts showing motive or preparation,හේතුව හෝ සූදානම පෙන්වන කරුණු
Conduct influencing relevant facts,අදාළ කරුණු බලපාන හැසිරීම
Facts explaining relevant facts,අදාළ කරුණු පැහැදිලි කරන කරුණු
Evidence of facts in issue,විවාද කරුණු සම්බන්ධ සාක්ෂි
Statements made by witnesses,සාක්ෂිකරුවන් විසින් කරන ප්‍රකාශ
Admissions made by a party,පාර්ශවයකින් කරන අග්‍රහණ
Confessions made by accused,චෝදනා ලැබූ පුද්ගලයාගේ සම්මත ප්‍රකාශ
Relevant statements of deceased persons,මියගිය පුද්ගලයන්ගේ අදාළ ප්‍රකාශ
Entries in books of account,ගිණුම් පොත්වල සටහන්
Public records maintained by authorities,රාජ්‍ය ආයතන පවත්වාගෙන යන වාර්තා
Expert opinion on technical matters,තාක්ෂණික කරුණු පිළිබඳ විශේෂඥ මතය
Opinion on handwriting authenticity,අත්ලිය සත්‍යතාව පිළිබඳ මතය
Facts affecting determination of damages,හානි තීරණයට බලපාන කරුණු
Judicial notice of facts,අධිකරණයෙන් ස්වයංක්‍රීයව පිළිගන්නා කරුණු
Previous judgments as evidence,පෙර තීන්දුව සාක්ෂි ලෙස භාවිතා කිරීම
Evidence given in previous proceedings,පෙර විධාන වලදී ලබාදුන් සාක්ෂි
Statements made in ordinary course of business,සාමාන්‍ය ව්‍යාපාරික ක්‍රියාවලියේදී කරන ප්‍රකාශ
Facts showing state of mind,මානසික තත්ත්වය පෙන්වන කරුණු
Right of access to information,තොරතුරු වෙත ප්‍රවේශ අයිතිය
Request for access to information,තොරතුරු ලබාගැනීම සඳහා ඉල්ලීම
Grounds for refusal of information,තොරතුරු ප්‍රතික්ෂේප කිරීමට හේතු
Disclosure of personal information,පුද්ගලික තොරතුරු හෙළි කිරීම
Protection of national security,ජාතික ආරක්ෂාව රැකීම
Public authority responsibilities,රාජ්‍ය ආයතන වගකීම්
Maintenance of official records,රාජ්‍ය වාර්තා පවත්වාගෙන යාම
Right to appeal against decision,තීරණයකට එරෙහිව අභියාචනා අයිතිය
Submission of annual reports,වාර්ෂික වාර්තා ඉදිරිපත් කිරීම
Appointment of information officers,තොරතුරු නිලධාරීන් පත් කිරීම
Procedure for obtaining information,තොරතුරු ලබාගැනීමේ ක්‍රියාවලිය
Time limits for providing information,තොරතුරු ලබාදීමේ කාල සීමා
Disclosure in public interest,ජනහිතය සඳහා හෙළි කිරීම
Confidential information supplied by third party,තෙවන පාර්ශවයක් විසින් ලබාදුන් රහස්‍ය තොරතුරු
Information stored in electronic format,ඉලෙක්ට්‍රොනික ආකාරයෙන් සුරකින තොරතුරු
Duty to publish reports,වාර්තා ප්‍රකාශ කිරීමේ වගකීම
Right to inspect documents,ලේඛන පරීක්ෂා කිරීමේ අයිතිය
Appeal to the Information Commission,තොරතුරු කොමිසම වෙත අභියාචනය
Provision of incomplete or misleading information,අසම්පූර්ණ හෝ වැරදි තොරතුරු සැපයීම
Disclosure of project information,ව්‍යාපෘති තොරතුරු හෙළි කිරීම
Right of copyright protection,ප්‍රකාශන හිමිකම් ආරක්ෂණ අයිතිය
Exclusive rights of the author,කර්තෘගේ විශේෂ අයිතිවාසිකම්
Reproduction of a work,කෘතියක් ප්‍රතිනිර්මාණය කිරීම
Public communication of a work,කෘතියක් මහජනතාවට සන්නිවේදනය කිරීම
Adaptation of a copyrighted work,ප්‍රකාශන හිමිකම් ඇති කෘතියක් අනුකරණය කිරීම
Translation of a work,කෘතියක් පරිවර්තනය කිරීම
Distribution of copies to the public,පිටපත් මහජනතාවට බෙදාහැරීම
Protection of intellectual property rights,බුද්ධිමය දේපළ අයිතිවාසිකම් ආරක්ෂාව
Registration of industrial designs,කාර්මික නිර්මාණ ලියාපදිංචිය
Ownership of economic rights,ආර්ථික අයිතිවාසිකම් හිමිකාරිත්වය
Moral rights of the author,කර්තෘගේ නৈতিক අයිතිවාසිකම්
Fair use of copyrighted material,ප්‍රකාශන හිමිකම් යටතේ සාධාරණ භාවිතය
Use for educational purposes,අධ්‍යාපනික අරමුණු සඳහා භාවිතය
Infringement of copyright,ප්‍රකාශන හිමිකම් උල්ලංඝනය
Legal remedies for infringement,උල්ලංඝනය සඳහා නීතිමය පිළියම්
Assignment of copyright ownership,හිමිකාරිත්වය පවරා දීම
Licensing of intellectual property,බුද්ධිමය දේපළ සඳහා අවසර ලබාදීම
Public performance of a work,කෘතියක් මහජන ප්‍රදර්ශනය
Broadcasting of copyrighted content,ප්‍රකාශන හිමිකම් අන්තර්ගතය ප්‍රචාරණය
Protection of industrial designs,කාර්මික නිර්මාණ ආරක්ෂාව
Right to delete personal information,පුද්ගලික තොරතුරු මකා දැමීමේ අයිතිය
Right to correct inaccurate information,වැරදි තොරතුරු නිවැරදි කිරීමේ අයිතිය
Right to know collected information,එකතු කරන ලද තොරතුරු දැනගැනීමේ අයිතිය
Right to access personal information,පුද්ගලික තොරතුරු වෙත ප්‍රවේශ වීමේ අයිතිය
Right to opt out of data sharing,දත්ත බෙදාහැරීමෙන් ඉවත් වීමේ අයිතිය
Right to limit sensitive data usage,සංවේදී දත්ත භාවිතය සීමා කිරීමේ අයිතිය
Disclosure of personal data categories,පුද්ගලික දත්ත වර්ග හෙළිදරව් කිරීම
Collection of personal information,පුද්ගලික තොරතුරු එකතු කිරීම
Processing of consumer data,පාරිභෝගික දත්ත සැකසීම
Retention period of data,දත්ත රඳවා තබා ගැනීමේ කාලය
Use of personal information,පුද්ගලික තොරතුරු භාවිතය
Sharing personal information with third parties,තෙවන පාර්ශවයන්ට දත්ත බෙදාහැරීම
Consumer request verification,පාරිභෝගික ඉල්ලීම් සත්‍යාපනය
Security of personal data,පුද්ගලික දත්ත ආරක්ෂාව
Business purpose for data collection,දත්ත එකතු කිරීමේ ව්‍යාපාරික අරමුණ
Sensitive data processing limitation,සංවේදී දත්ත සැකසීම සීමා කිරීම
Non-discrimination of consumers,පාරිභෝගිකයන්ට වෙනස්කම් නොකිරීම
Financial incentive program,මූල්‍ය ප්‍රතිලාභ වැඩසටහන
Consumer privacy rights,පාරිභෝගික පෞද්ගලිකත්ව අයිතිවාසිකම්
Right to access personal data,පුද්ගලික දත්ත වෙත ප්‍රවේශ වීමේ අයිතිය
Right to rectification,දත්ත නිවැරදි කිරීමේ අයිතිය
Right to restrict processing,දත්ත සැකසීම සීමා කිරීමේ අයිතිය
Right to information,තොරතුරු ලබාගැනීමේ අයිතිය
Lawful and fair processing,නීතිමය සහ සාධාරණ සැකසීම
Processing based on consent,අනුමැතිය මත දත්ත සැකසීම
Transfer of personal data to third countries,දත්ත තෙවන රටවලට හුවමාරු කිරීම
Automated decision safeguards,ස්වයංක්‍රීය තීරණ ආරක්ෂණ ක්‍රියාමාර්ග
Data retention limitation,දත්ත රඳවා තබා ගැනීම සීමා කිරීම
Processing for public interest,පොදු හිත සඳහා දත්ත සැකසීම
Obligations of controller,පාලකයාගේ වගකීම්
Data protection by design,සැලසුම් මට්ටමේ දත්ත ආරක්ෂාව
Collection of personal data,පුද්ගලික දත්ත එකතු කිරීම
Use of personal data,පුද්ගලික දත්ත භාවිතය
Disclosure of personal data,පුද්ගලික දත්ත හෙළි කිරීම
Consent of the individual,පුද්ගලයාගේ අනුමැතිය
Withdrawal of consent,අනුමැතිය ඉවත් කිරීම
Purpose of data collection,දත්ත එකතු කිරීමේ අරමුණ
Notification of purpose,අරමුණ දැනුම්දීම
Access to personal data,පුද්ගලික දත්ත වෙත ප්‍රවේශය
Correction of personal data,පුද්ගලික දත්ත නිවැරදි කිරීම
Protection of personal data,පුද්ගලික දත්ත ආරක්ෂාව
Retention of personal data,පුද්ගලික දත්ත රඳවා තබා ගැනීම
Transfer of personal data,පුද්ගලික දත්ත මාරු කිරීම
Data breach notification,දත්ත කඩාවැටීම් දැනුම්දීම
Obligations of organisations,සංවිධානවල බැඳීම්
Rights of individuals,පුද්ගලයන්ගේ අයිතිවාසිකම්
Lawful use of personal data,නීතිමය දත්ත භාවිතය
Reasonable purpose,සාධාරණ අරමුණ
Publicly available data,මහජනට ලබාගත හැකි දත්ත
Business contact information,ව්‍යාපාරික සම්බන්ධතා තොරතුරු
Derived personal data,උත්පාදිත පුද්ගලික දත්ත
Processing of digital personal data,ඩිජිටල් පුද්ගලික දත්ත සැකසීම
Consent of the data principal,දත්ත හිමිකරුගේ අනුමැතිය
Withdrawal of consent by data principal,දත්ත හිමිකරු විසින් අනුමැතිය ඉවත් කිරීම
Specified purpose of processing,සැකසීමේ නිශ්චිත අරමුණ
Lawful purpose of data processing,දත්ත සැකසීමේ නීතිමය අරමුණ
Obligations of data fiduciary,දත්ත භාරකරුගේ බැඳීම්
Rights of data principal,දත්ත හිමිකරුගේ අයිතිවාසිකම්
Grievance redressal mechanism,පැමිණිලි විසඳීමේ ක්‍රමය
Processing of children’s data,ළමා දත්ත සැකසීම
Verifiable parental consent,සත්‍යාපිත මාපිය අනුමැතිය
Appointment of data protection officer,දත්ත ආරක්ෂණ නිලධාරී පත් කිරීම
Data protection impact assessment,දත්ත ආරක්ෂණ බලපෑම් ඇගයීම
Notification of data breach,දත්ත කඩාවැටීම් දැනුම්දීම
Transfer of personal data outside India,දත්ත විදේශයට මාරු කිරීම
