English,Sinhala
Controllers shall inform decisions within specified time,පාලකයන් නියමිත කාලය තුළ තීරණ දැනුම් දිය යුතුය
Requests may be refused based on legal conditions,නීතිමය කොන්දේසි මත ඉල්ලීම් ප්‍රතික්ෂේප කළ හැක
Controllers shall record reasons for refusal,ප්‍රතික්ෂේප කිරීමට හේතු වාර්තා කළ යුතුය
Additional information may be requested for verification,තහවුරු කිරීම සඳහා අතිරේක තොරතුරු ඉල්ලා සිටිය හැක
Data subjects may appeal against decisions,දත්ත හිමිකරුවන්ට තීරණ වලට එරෙහිව අභියාචනා කළ හැක
Authority shall determine outcomes of appeals,අභියාචනා ප්‍රතිඵල අධිකාරිය විසින් තීරණය කරයි
Controllers shall comply with Authority decisions,පාලකයන් අධිකාරියේ තීරණ වලට අනුකූල විය යුතුය
Data processing shall follow contractual obligations,දත්ත සැකසීම කොන්ත්‍රාත් වගකීම් අනුව සිදු විය යුතුය
Processors shall act only on controller instructions,සැකසුම්කරුවන් පාලකයාගේ උපදෙස් අනුව පමණක් ක්‍රියා කළ යුතුය
Any act done to access information without authority constitutes an offence,අවසර නොමැතිව තොරතුරු ලබාගැනීමට කරන ක්‍රියාවක් අපරාධයක් වේ
Access to any part of a computer system without permission is prohibited,අවසර නොමැතිව පරිගණක පද්ධතියේ කොටසකට ප්‍රවේශය තහනම් වේ
Modification of computer programs without authority is punishable,අවසර නොමැතිව වැඩසටහන් වෙනස් කිරීම දඩුවම් ලැබේ
Any act causing potential damage to computer data is an offence,දත්ත වලට ඇති විය හැකි හානි සිදු කරන ක්‍රියාවක් අපරාධයකි
Destruction or alteration of stored information is punishable by law,ගබඩා කර ඇති තොරතුරු විනාශ කිරීම හෝ වෙනස් කිරීම නීතියෙන් දඩුවම් ලබයි
Introducing harmful programs into a computer system is illegal,පරිගණක පද්ධතියට හානි කරන වැඩසටහන් ඇතුළත් කිරීම නීතිවිරෝධී වේ
Any act affecting system reliability is considered an offence,පද්ධතියේ විශ්වාසනීයභාවයට බලපාන ක්‍රියාවක් අපරාධයක් ලෙස සැලකේ
Interception of electronic communication without authority is illegal,අවසර නොමැතිව විද්‍යුත් සන්නිවේදනය අතුරුග්‍රහණය කිරීම නීතිවිරෝධී වේ
Monitoring electromagnetic signals carrying data is an offence,දත්ත රැගෙන යන සංඥා නිරීක්ෂණය කිරීම අපරාධයකි
Use of devices intended for committing offences is prohibited,අපරාධ සඳහා භාවිතා කිරීමට නියමිත උපාංග භාවිතය තහනම් වේ
Distribution of passwords or access codes for illegal use is punishable,නීතිවිරෝධී භාවිතය සඳහා මුරපද හෝ කේත බෙදාහැරීම දඩුවම් ලබයි
Providing access tools with intent to commit offences is illegal,අපරාධ කිරීමේ අරමුණින් ප්‍රවේශ මෙවලම් ලබාදීම නීතිවිරෝධී වේ
Disclosure of entrusted access information without authority is an offence,භාරදෙන ලද ප්‍රවේශ තොරතුරු අනවසරයෙන් හෙළි කිරීම අපරාධයකි
Handling unlawfully obtained data is punishable under law,අනීතිමය ලෙස ලබාගත් දත්ත භාවිතය නීතියෙන් දඩුවම් ලබයි
Downloading or copying unlawfully obtained information is an offence,අනීතිමය තොරතුරු බාගත කිරීම හෝ පිටපත් කිරීම අපරාධයකි
Any attempt to access restricted data shall be treated as an offence,සීමා කර ඇති දත්ත වෙත ප්‍රවේශය කිරීමට උත්සාහය අපරාධයක් ලෙස සැලකේ
Law enforcement officers may conduct investigations under authority,නීති ක්‍රියාත්මක කරන නිලධාරීන්ට අවසර යටතේ පරීක්ෂණ සිදු කළ හැක
Experts may access systems to assist investigations,විශේෂඥයන්ට පද්ධති වෙත ප්‍රවේශය ලබාගෙන පරීක්ෂණ සඳහා සහාය දිය හැක
Digital evidence shall be preserved during investigations,පරීක්ෂණ අතරතුර ඩිජිටල් සාක්ෂි ආරක්ෂා කළ යුතුය
Information obtained during investigation shall be properly recorded,පරීක්ෂණයෙන් ලබාගත් තොරතුරු නිසි ලෙස වාර්තා කළ යුතුය
The Authority shall establish a national cyber security framework,අධිකාරිය ජාතික සයිබර් ආරක්ෂණ රාමුවක් ස්ථාපිත කළ යුතුය
The Authority shall function as the national point of contact,අධිකාරිය ජාතික සම්බන්ධතා මධ්‍යස්ථානය ලෙස ක්‍රියා කළ යුතුය
Cyber security strategies shall be implemented effectively,සයිබර් ආරක්ෂණ උපායමාර්ග කාර්යක්ෂම ලෙස ක්‍රියාත්මක කළ යුතුය
The Authority shall monitor cyber threats at national level,අධිකාරිය ජාතික මට්ටමින් සයිබර් තර්ජන නිරීක්ෂණය කළ යුතුය
Critical infrastructure shall be identified and protected,මූලික යටිතල හඳුනාගෙන ආරක්ෂා කළ යුතුය
The Authority may issue guidelines for cyber security standards,අධිකාරියට සයිබර් ආරක්ෂණ මාර්ගෝපදේශ නිකුත් කළ හැක
Internet service providers shall remove harmful programs,අන්තර්ජාල සේවා සපයන්නන් හානිකර වැඩසටහන් ඉවත් කළ යුතුය
The Authority may obtain information from relevant institutions,අධිකාරියට අදාළ ආයතනවලින් තොරතුරු ලබාගත හැක
Cyber incidents shall be reported to the Authority promptly,සයිබර් සිද්ධි ඉක්මනින් අධිකාරියට වාර්තා කළ යුතුය
The Authority shall conduct security assessments and audits,අධිකාරිය ආරක්ෂණ පරීක්ෂණ සහ විගණන සිදු කළ යුතුය
International cooperation shall be maintained for cyber security,සයිබර් ආරක්ෂාව සඳහා ජාත්‍යන්තර සහයෝගිතාව පවත්වා ගත යුතුය
Training and education programs shall be developed,පුහුණු සහ අධ්‍යාපන වැඩසටහන් සංවර්ධනය කළ යුතුය
Cyber security awareness shall be promoted among citizens,පුරවැසියන් අතර සයිබර් අවබෝධය ප්‍රවර්ධනය කළ යුතුය
Service providers shall obtain accreditation before operation,සේවා සපයන්නන් ක්‍රියාත්මක වීමට පෙර අනුමත කිරීම ලබාගත යුතුය
Failure to comply with requirements shall result in penalties,අවශ්‍යතා අනුගමනය නොකිරීම දඩුවම් වලට හේතු වේ
Penalties shall be imposed based on severity of non compliance,අනුකූල නොවීමේ ගැඹුර අනුව දඩ නියම කළ යුතුය
Appeals may be made to the Court of Appeal,අභියාචනා අධිකරණයට ඉදිරිපත් කළ හැක
The Authority shall maintain confidentiality of information,අධිකාරිය තොරතුරු රහස්‍යතාව රැකිය යුතුය
Authorized officers may conduct inspections and searches,අවසර ලත් නිලධාරීන්ට පරීක්ෂා සහ සෙවීම් කළ හැක
Emergency actions may be taken without a warrant when necessary,අවශ්‍ය නම් හදිසි ක්‍රියාමාර්ග වොරන්ට් නොමැතිව ගත හැක
Information systems may be designated as critical infrastructure,තොරතුරු පද්ධති මූලික යටිතල ලෙස නම් කළ හැක
Owners shall ensure the protection of critical systems,හිමිකරුවන් මූලික පද්ධති ආරක්ෂා කළ යුතුය
Security risk assessments shall be conducted periodically,ආරක්ෂණ අවදානම් පරීක්ෂණ නියමිතව සිදු කළ යුතුය
The Authority shall enforce compliance with regulations,අධිකාරිය නියාමන අනුකූලතාව බලගන්විය යුතුය
Funds shall be utilized for operational activities,මුදල් මෙහෙයුම් කටයුතු සඳහා භාවිතා කළ යුතුය
Annual reports shall be submitted to the Minister,වාර්ෂික වාර්තා අමාත්‍යවරයාට ඉදිරිපත් කළ යුතුය
Rules and regulations shall be published in the Gazette,නීති සහ රෙගුලාසි ගැසට් පත්‍රයේ ප්‍රකාශයට පත් කළ යුතුය
The Act protects persons from harm caused by prohibited online statements,මෙම පනත තහනම් මාර්ගගත ප්‍රකාශවලින් සිදුවන හානියෙන් පුද්ගලයන් ආරක්ෂා කරයි
The Commission may issue notices to stop prohibited communication,තහනම් සන්නිවේදනය නවත්වන ලෙස කොමිෂන් සභාවට දැනුම්දීම් නිකුත් කළ හැක
Internet intermediaries may be required to remove prohibited statements,තහනම් ප්‍රකාශ ඉවත් කිරීමට අන්තර්ජාල අතරමැදි සේවා සපයන්නන්ට නියම කළ හැක
A person may complain about a prohibited online statement,තහනම් මාර්ගගත ප්‍රකාශයක් පිළිබඳ පුද්ගලයෙකුට පැමිණිලි කළ හැක
The complaint may be submitted in writing or electronic form,පැමිණිල්ල ලිඛිතව හෝ විද්‍යුත් ආකාරයෙන් ඉදිරිපත් කළ හැක
The Commission shall investigate prohibited statements where sufficient material exists,ප්‍රමාණවත් කරුණු තිබේ නම් කොමිෂන් සභාව තහනම් ප්‍රකාශ පිළිබඳ පරීක්ෂණ සිදු කළ යුතුය
A person receiving notice shall comply within twenty four hours,දැනුම්දීමක් ලැබූ පුද්ගලයා පැය විසි හතරක් තුළ එයට අනුකූල විය යුතුය
The Magistrate may issue an order to prevent circulation of prohibited information,තහනම් තොරතුරු ප්‍රචාරණය වැළැක්වීමට මහේස්ත්‍රාත්වරයාට නියෝගයක් නිකුත් කළ හැක
An internet intermediary may be ordered to disclose identity information,අනන්‍යතා තොරතුරු හෙළි කිරීමට අන්තර්ජාල අතරමැදි සේවා සපයන්නෙකුට නියෝග කළ හැක
An online location may be declared if repeated prohibited statements are communicated,නැවත නැවත තහනම් ප්‍රකාශ සන්නිවේදනය කළහොත් මාර්ගගත ස්ථානයක් ප්‍රකාශිත ස්ථානයක් ලෙස නම් කළ හැක
The owner of a declared online location shall comply with the notice,ප්‍රකාශිත මාර්ගගත ස්ථානයේ හිමිකරු දැනුම්දීමට අනුකූල විය යුතුය
Paid content promoting declared online locations shall not be communicated,ප්‍රකාශිත මාර්ගගත ස්ථාන ප්‍රවර්ධනය කරන ගෙවූ අන්තර්ගතය සන්නිවේදනය නොකළ යුතුය
A person shall not receive benefits for operating a declared online location,ප්‍රකාශිත මාර්ගගත ස්ථානයක් ක්‍රියාත්මක කිරීම සඳහා ප්‍රතිලාභ ලබා නොගත යුතුය
The Commission may act against inauthentic online accounts,නොසත්‍ය මාර්ගගත ගිණුම්වලට එරෙහිව කොමිෂන් සභාවට ක්‍රියා කළ හැක
Experts may assist the Commission in investigations,පරීක්ෂණවලදී විශේෂඥයන්ට කොමිෂන් සභාවට සහාය විය හැක
A person required to assist an investigation shall comply,පරීක්ෂණයකට සහාය වීමට නියම කරන ලද පුද්ගලයෙකු එයට අනුකූල විය යුතුය
Electronic records shall not be denied legal validity solely because they are in electronic form,විද්‍යුත් වාර්තා විද්‍යුත් ආකාරයෙන් පවතින බැවින් පමණක් නීතිමය වලංගුභාවය ප්‍රතික්ෂේප නොකළ යුතුය
Information is considered valid if it is accessible for future reference,අනාගත යොමු සඳහා ප්‍රවේශය ඇති තොරතුරු වලංගු ලෙස සැලකේ
Electronic records must maintain integrity from creation to usage,විද්‍යුත් වාර්තා නිර්මාණය කිරීමේ සිට භාවිතය දක්වා අඛණ්ඩතාව රැකිය යුතුය
Electronic signatures shall satisfy legal requirements for authentication,විද්‍යුත් අත්සන සත්‍යාපනය සඳහා නීතිමය අවශ්‍යතා සපුරාලයි
Electronic filing with government institutions is legally acceptable,රජයේ ආයතන සමඟ විද්‍යුත් ලේඛන ඉදිරිපත් කිරීම නීතිමයව පිළිගත හැක
A contract shall not be invalid solely because it is in electronic form,විද්‍යුත් ආකාරයෙන් පවතින බැවින් පමණක් ගිවිසුම අකර්මණ්‍ය නොවේ
An offer and acceptance may be expressed electronically,ඉදිරිපත් කිරීම සහ පිළිගැනීම විද්‍යුත් ආකාරයෙන් ප්‍රකාශ කළ හැක
A data message is attributed to the originator under defined conditions,නිශ්චිත කොන්දේසි යටතේ දත්ත පණිවිඩය මූලාශ්‍රකරුට අයත් වේ
Receipt acknowledgement may be given electronically or by conduct,ලැබීම තහවුරු කිරීම විද්‍යුත් ලෙස හෝ හැසිරීමෙන් සිදු කළ හැක
Dispatch occurs when a message leaves the control of the originator,පණිවිඩය මූලාශ්‍රකරුගේ පාලනයෙන් පිටවූ විට යැවීම සිදු වේ
Receipt occurs when the message enters the addressee’s system,පණිවිඩය ලබන්නාගේ පද්ධතියට ඇතුළු වූ විට ලැබීම සිදු වේ
Electronic evidence shall be admissible in legal proceedings,විද්‍යුත් සාක්ෂි නීතිමය ක්‍රියාවලියට පිළිගත හැක
Courts may presume the authenticity of electronic records unless proven otherwise,වෙනත් ආකාරයෙන් සනාථ නොකළහොත් විද්‍යුත් වාර්තා සත්‍ය ලෙස අධිකරණය පිළිගනී
Certification authorities shall regulate service providers,සහතික අධිකාරිය සේවා සපයන්නන් නියාමනය කළ යුතුය
Accredited providers must meet specified criteria,අනුමත සේවා සපයන්නන් නියමිත මাপকයන් සපුරාලිය යුතුය
Electronic systems must ensure confidentiality and integrity,විද්‍යුත් පද්ධති රහස්‍යභාවය සහ අඛණ්ඩතාව රැකිය යුතුය
Possession of equipment for creating payment devices without authority is an offence,අවසර නොමැතිව ගෙවීම් උපාංග නිර්මාණ උපකරණ අයිති කරගැනීම අපරාධයකි
Using a counterfeit payment device shall constitute a criminal offence,නකල් ගෙවීම් උපාංග භාවිතය අපරාධයක් වේ
Obtaining goods or money through fraudulent use of a payment device is punishable,වංචාකාරී ලෙස උපාංග භාවිතයෙන් දේපළ ලබාගැනීම දඩුවම් ලබයි
Generating payment device account numbers for illegal use is an offence,නීතිවිරෝධී භාවිතය සඳහා ගිණුම් අංක නිර්මාණය අපරාධයකි
Accepting unauthorized payment devices knowingly is punishable,දැන දැන අනවසර උපාංග පිළිගැනීම දඩුවම් ලබයි
Altering transaction records without permission constitutes fraud,අවසර නොමැතිව ගනුදෙනු වාර්තා වෙනස් කිරීම වංචාවකි
Providing cardholder information to unauthorized parties is an offence,කාඩ් හිමිකරු තොරතුරු අනවසර පුද්ගලයන්ට ලබාදීම අපරාධයකි
Attempting to commit a payment device fraud is punishable by law,වංචා අපරාධයක් කිරීමට උත්සාහ කිරීම දඩුවම් ලබයි
Abetting a fraud offence results in liability equal to the offence,වංචාවට උදව් කිරීමද එම අපරාධයට සමාන වගකීමක් ඇති කරයි
Conspiring to commit fraud is treated as a criminal offence,වංචා සැලසුම් කිරීම අපරාධයක් ලෙස සැලකේ
Experts may assist law enforcement in fraud investigations,විශේෂඥයන්ට වංචා පරීක්ෂණ සඳහා නීති බලධාරීන්ට සහාය දිය හැක
Authorities may access systems and data for investigation purposes,පරීක්ෂණ සඳහා පද්ධති සහ දත්ත වෙත ප්‍රවේශය ලබාගත හැක
Any person required to assist an investigation must comply,පරීක්ෂණයට සහාය වීමට නියම කරන ලද පුද්ගලයෙකු එයට අනුකූල විය යුතුය
Confidentiality of investigation data must be strictly maintained,පරීක්ෂණ දත්ත රහස්‍යභාවය දැඩිව රැකිය යුතුය
Courts may award compensation for financial loss caused by fraud,වංචාවෙන් සිදු වූ මූල්‍ය හානි සඳහා අධිකරණය වන්දි නියම කළ හැක
Possession of counterfeit devices creates a presumption of intent to commit fraud,නකල් උපාංග අයිති කරගැනීම වංචා අරමුණක් ඇතැයි අනුමාන කරයි
Offences under this Act are subject to High Court jurisdiction,මෙම පනත යටතේ අපරාධ මහාධිකරණ බලයට අයත් වේ
International cooperation may be used for investigation and prosecution,පරීක්ෂණ සහ නඩු පැවරීම සඳහා ජාත්‍යන්තර සහයෝගිතාව භාවිතා කළ හැක
Extradition may be applied for offenders under this Act,මෙම පනත යටතේ අපරාධකරුවන් පිටුදැකීම කළ හැක
The Authority is established to protect consumers and regulate trade practices,පාරිභෝගිකයන් ආරක්ෂා කිරීම හා වෙළඳාම නියාමනය කිරීම සඳහා අධිකාරිය ස්ථාපිත කරයි
Consumers must have access to goods and services at competitive prices,පාරිභෝගිකයන්ට තරඟකාරී මිලකට භාණ්ඩ සහ සේවා ලබාගැනීමට හැකි විය යුතුය
The Authority may issue directions regarding labelling and pricing of goods,භාණ්ඩ ලේබල් කිරීම සහ මිල සලකුණු කිරීම පිළිබඳ අධිකාරියට නියෝග නිකුත් කළ හැක
Failure to comply with directions issued by the Authority constitutes an offence,අධිකාරියේ නියෝග අනුගමනය නොකිරීම අපරාධයකි
Selling goods above the marked price is prohibited by law,සලකුණු කළ මිලට වඩා ඉහළ මිලට විකිණීම තහනම් වේ
The Authority may determine standards for goods and services,භාණ්ඩ සහ සේවා සඳහා ප්‍රමිතීන් නියම කිරීමට අධිකාරියට හැක
Consumers may submit complaints regarding non compliant goods or services,ප්‍රමිතීන්ට අනුකූල නොවන භාණ්ඩ හෝ සේවා පිළිබඳ පැමිණිලි ඉදිරිපත් කළ හැක
The Authority shall inquire into complaints and provide appropriate remedies,අධිකාරිය පැමිණිලි විමර්ශනය කර සුදුසු විසඳුම් ලබාදිය යුතුය
Traders must not refuse to sell goods available in their possession,වෙළෙන්දන් තමන් සතු භාණ්ඩ විකිණීම ප්‍රතික්ෂේප නොකළ යුතුය
Hoarding goods beyond normal requirements is considered an offence,සාමාන්‍ය අවශ්‍යතාවයට වඩා භාණ්ඩ සඟවා තබාගැනීම අපරාධයකි
Traders must display price lists clearly at their place of business,වෙළෙන්දන් තම වෙළඳ ස්ථානයේ මිල ලැයිස්තු ප්‍රදර්ශනය කළ යුතුය
Every trader must issue a receipt for goods sold,විකිණූ භාණ්ඩ සඳහා වෙළෙන්දන් රසිදු නිකුත් කළ යුතුය
Misleading or deceptive conduct in trade is prohibited,වෙළඳාමේ මෝහනකාරී හෝ භ్రమණීය හැසිරීම තහනම් වේ
False representation of goods or services constitutes an offence,භාණ්ඩ හෝ සේවා පිළිබඳ අසත්‍ය ප්‍රකාශ කිරීම අපරාධයකි
Consumers are entitled to compensation for defective goods or services,අසාර්ථක භාණ්ඩ හෝ සේවා සඳහා පාරිභෝගිකයන්ට වන්දි හිමි වේ
The Authority may conduct investigations into anti competitive practices,ප්‍රතිතරඟකාරී ක්‍රියා පිළිබඳ විමර්ශනය කිරීමට අධිකාරියට හැක
The Council may determine whether a practice is against public interest,යම් ක්‍රියාවක් මහජන හිතයට විරුද්ධදැයි සභාව තීරණය කරයි
Failure to provide required information to the Authority is an offence,අධිකාරියට අවශ්‍ය තොරතුරු ලබා නොදීම අපරාධයකි
The Authority may inspect premises and seize goods when necessary,අවශ්‍ය නම් අධිකාරියට ස්ථාන පරීක්ෂා කර භාණ්ඩ අත්අඩංගුවට ගත හැක
Confidential information obtained during investigations must not be disclosed,පරීක්ෂණ වලදී ලැබෙන රහස්‍ය තොරතුරු හෙළි නොකළ යුතුය
Personal data processing must respect fundamental rights and freedoms,පුද්ගලික දත්ත සැකසීම මූලික අයිතිවාසිකම් හා නිදහස් අගය කළ යුතුය
Data protection rules must be applied consistently across all member states,සියලු රටවල් තුළ දත්ත ආරක්ෂණ නීති සමාන ලෙස ක්‍රියාත්මක විය යුතුය
Processing activities must be carried out in a transparent manner,දත්ත සැකසීම පැහැදිලි ආකාරයෙන් සිදු කළ යුතුය
Data subjects must have control over their personal data,දත්ත හිමිකරුවන්ට තම දත්ත පිළිබඳ පාලනය තිබිය යුතුය
Technological developments must ensure high level data protection,තාක්ෂණික වර්ධනය දත්ත ආරක්ෂාව ඉහළ මට්ටමින් රැකිය යුතුය
Processing must be limited to lawful and legitimate purposes,සංස්කරණය නීතිමය සහ සුදුසු අරමුණු වලට පමණක් සීමා විය යුතුය
Personal data should be processed only when necessary,අවශ්‍ය අවස්ථාවලදී පමණක් දත්ත සැකසිය යුතුය
Processing must ensure appropriate safeguards against misuse,දත්ත අනිසි භාවිතයෙන් ආරක්ෂා කිරීමට සුදුසු ක්‍රියාමාර්ග තිබිය යුතුය
Natural persons must be informed about risks related to data processing,දත්ත සැකසීමේ අවදානම් පිළිබඳ පුද්ගලයන් දැනුවත් කළ යුතුය
Data controllers must implement effective protection measures,පාලකයන්ට ප්‍රभावී ආරක්ෂණ ක්‍රියාමාර්ග ක්‍රියාත්මක කළ යුතුය
Processing of personal data should support economic and social development,දත්ත සැකසීම ආර්ථික හා සමාජ වර්ධනයට සහාය විය යුතුය
Differences in data protection laws must not restrict data flow,දත්ත ආරක්ෂණ නීති වෙනස්කම් දත්ත ගමන් සීමා නොකළ යුතුය
Processing must ensure legal certainty and transparency,සංස්කරණය නීතිමය ස්ථාවරත්වය හා පැහැදිලිභාවය රැකිය යුතුය
Supervisory authorities must ensure compliance with regulations,නියාමන අධිකාරීන් නීති අනුකූලතාව තහවුරු කළ යුතුය
Personal data must be protected against unauthorized access,දත්ත අනවසර ප්‍රවේශයෙන් ආරක්ෂා කළ යුතුය
Processing must be designed to serve human interests,දත්ත සැකසීම මනුෂ්‍ය ප්‍රයෝජනයට සේවය කළ යුතුය
Cross border data flow must ensure adequate protection measures,දේශසීමා හරහා දත්ත ගමන් කිරීමේදී ආරක්ෂාව තහවුරු කළ යුතුය
Legal frameworks must enhance trust in digital systems,නීති රාමුව ඩිජිටල් පද්ධතිවල විශ්වාසය වැඩි කළ යුතුය
Data subjects must be able to exercise their rights easily,දත්ත හිමිකරුවන්ට තම අයිතිවාසිකම් පහසුවෙන් භාවිතා කළ හැකි විය යුතුය
Processing systems must prevent data misuse and unauthorized disclosure,දත්ත පද්ධති අනිසි භාවිතය සහ අනවසර හෙළි කිරීම වැළැක්විය යුතුය
The Authority shall promote reliable and efficient telecommunication services,අධිකාරිය විශ්වාසනීය සහ කාර්යක්ෂම සන්නිවේදන සේවා ප්‍රවර්ධනය කළ යුතුය
Operators must comply with technical and regulatory standards,ක්‍රියාකරුවන් තාක්ෂණික සහ නියාමන ප්‍රමිතීන්ට අනුකූල විය යුතුය
Telecommunication services shall be provided in the public interest,සන්නිවේදන සේවා මහජන හිත සඳහා ලබාදිය යුතුය
The Authority may issue directions to ensure service quality,සේවා ගුණාත්මකභාවය තහවුරු කිරීමට අධිකාරියට නියෝග නිකුත් කළ හැක
No person shall operate a telecommunication system without a licence,අනුමති පත්‍රයකින් තොරව කිසිවෙකුට සන්නිවේදන පද්ධතියක් ක්‍රියාත්මක කළ නොහැක
The Commission shall regulate tariffs for telecommunication services,ගාස්තු පාලනය කිරීමට කොමිෂන් සභාවට බලය ඇත
Operators must submit financial and operational reports to the Authority,ක්‍රියාකරුවන් මූල්‍ය සහ මෙහෙයුම් වාර්තා ඉදිරිපත් කළ යුතුය
The Authority may investigate complaints from subscribers,ග්‍රාහකයන්ගේ පැමිණිලි විමර්ශනය කිරීමට අධිකාරියට හැක
Confidential information obtained during investigations shall be protected,විමර්ශන වලදී ලැබෙන රහස්‍ය තොරතුරු ආරක්ෂා කළ යුතුය
The Authority may require any person to provide relevant information,අදාළ තොරතුරු ලබාදීමට ඕනෑම පුද්ගලයෙකුට අධිකාරියට නියම කළ හැක
Radio frequency spectrum shall be managed by the Authority,ආවර්තන පරාසය අධිකාරිය විසින් කළමනාකරණය කළ යුතුය
The Commission may allocate frequency bands for specific uses,නිශ්චිත භාවිතයන් සඳහා ආවර්තන පවරා දීමට කොමිෂන් සභාවට හැක
Interconnection between operators shall be ensured for efficiency,ක්‍රියාකරුවන් අතර අන්තර් සම්බන්ධතාව කාර්යක්ෂමතාව සඳහා තහවුරු කළ යුතුය
The Authority may conduct public hearings for regulatory matters,නියාමන කරුණු සඳහා මහජන සවන් දීම් පැවැත්වීමට අධිකාරියට හැක
Failure to comply with licence conditions shall result in penalties,අනුමති කොන්දේසි අනුගමනය නොකිරීම දඩයට හේතු වේ
The Authority may revoke licences for non compliance,අනුකූල නොවීමේදී අනුමති අහෝසි කළ හැක
Appeals may be made to the Court of Appeal against decisions,තීරණවලට එරෙහිව අභියාචනා අධිකරණයට යා හැක
The Authority shall ensure fair competition in the telecommunication market,වෙළඳපොළේ සාධාරණ තරඟය තහවුරු කළ යුතුය
Infrastructure sharing may be required to improve service delivery,සේවා වැඩිදියුණු කිරීම සඳහා යටිතල බෙදාගැනීම අවශ්‍ය විය හැක
Every citizen shall have a right of access to information,සෑම පුරවැසියෙකුටම තොරතුරු වෙත ප්‍රවේශ අයිතිය ඇත
Access to information may be denied on specified grounds,නියමිත හේතු මත තොරතුරු ප්‍රතික්ෂේප කළ හැක
Public authorities shall maintain records properly,රාජ්‍ය ආයතන සිය වාර්තා නිසි ලෙස පවත්වාගත යුතුය
Information shall be provided within specified time limits,තොරතුරු නියමිත කාල සීමාව තුළ ලබාදිය යුතුය
Requests for information shall be made in writing,තොරතුරු ඉල්ලීම් ලිඛිතව ඉදිරිපත් කළ යුතුය
