English,Sinhala
Noncompliance,අනුකූල නොවීම
Penalty,දඩය
Registrar,ලේඛකයා
Confidentiality,රහස්‍යභාවය
Search,සෙවීම
Premises,ස්ථානය
Consent,අනුමැතිය
Designation,නියෝජනය
Owner,හිමිකරු
Sector,ක්ෂේත්‍රය
Officer,නිලධාරියා
Director,අධ්‍යක්ෂවරයා
Secretary,ලේකම්වරයා
Treasury,භාණ්ඩාගාරය
Agency,ආයතනය
Agreement,ගිවිසුම
Grant,දායකත්වය
Fund,අරමුදල
Revenue,ආදායම
Expenditure,වියදම
Instruction,උපදෙස්
Directive,නියෝගය
Rule,නීතිය
Publication,ප්‍රකාශනය
Interpretation,අර්ථ විවරණය
System,පද්ධතිය
Use,භාවිතය
Disruption,බාධා කිරීම
Modification,වෙනස් කිරීම
Destruction,විනාශය
Online,මාර්ගගත
Safety,ආරක්ෂාව
Statement,ප්‍රකාශය
Prohibited,තහනම්
False ,අසත්‍ය
Location,ස්ථානය
Inauthentic,අසත්‍ය/නොසත්‍ය
Bot,ස්වයංක්‍රීය බොට්
Intermediary,අතරමැදි සේවා සපයන්නා
Portal,ද්වාරය
Complaint,පැමිණිල්ල
Complainant,පැමිණිලිකරු
Circulation,ප්‍රචාරණය
Harassment,හිරිහැර කිරීම
Dignity,ගෞරවය
Humiliating,අපහාසකාරී
Offensive,අවමන්කාරී
Personation,පුද්ගල ලෙස පෙනී සිටීම
Cheating,වංචා කිරීම
Riot,කැරැල්ල
Provocation,උද්දීපනය
Incitement,උසිගැන්වීම
Mutiny,කැරලි ගැසීම
Contempt,අධිකරණයට අපහාසය
Judiciary,අධිකරණ පද්ධතිය
Impartiality,අපක්ෂපාතිත්වය
URL,යූ.ආර්.එල්.
Domain,ඩොමේනය
Declaration,ප්‍රකාශනය
Operator,ක්‍රියාකරු
Editorial,සංස්කරණ
Removal,ඉවත් කිරීම
Absolute,අවසාන
Conditional,කොන්දේසි සහිත
Affidavit,දිවුරුම් ප්‍රකාශය
Petition,ඉල්ලුම්පත
Transaction,ගනුදෙනුව
Electronic,විද්‍යුත්
Message,පණිවිඩය
Authentication,සත්‍යාපනය
Integrity,අඛණ්ඩතාව
Validity,වලංගුභාවය
Enforceability,බලාත්මකභාවය
Originator,මූලාශ්‍රකරු
Addressee,ලබන්නා
Dispatch,යැවීම
Receipt,ලැබීම
Acknowledgement,ලැබීම තහවුරු කිරීම
Automated,ස්වයංක්‍රීය
Accessibility,ප්‍රවේශය ලබාගැනීමේ හැකියාව
Reference,යොමු කිරීම
Format,ආකෘතිය
Reliability,විශ්වාසනීයභාවය
Cryptography,ගුප්තකේත විද්‍යාව
Certificate,සහතිකය
Admissibility,පිළිගැනීමේ හැකියාව
Contract,ගිවිසුම
Offer,ඉදිරිපත් කිරීම
Acceptance,පිළිගැනීම
Issuer,නිකුත්කරු
Acquirer,ග්‍රාහක බැංකුව
Cardholder,කාඩ් හිමිකරු
Merchant,වෙළෙන්දා
Fraud,වංචාව
Counterfeit,නකල්
Unauthorized,අනවසර
Custody,අභිභාරය
Control,පාලනය
Equipment,උපකරණ
Embossing,ඉම්බොසින් කිරීම
Encoding,කේතගත කිරීම
Skimming,දත්ත පිටපත් කිරීම
Tampering,අනවසරයෙන් වෙනස් කිරීම
Implant,ඇතුළත් කිරීම
Capture,අල්ලා ගැනීම
Authorization,අනුමැතිය
Network,ජාලය
Invoice,බිල්පත
Imprint,මුද්‍රණය
Approval,අනුමතිය
Advantage,වාසි
Inducement,ප්‍රේරණය
Conspiracy,සංවිධානය
Attempt,උත්සාහය
Abetment,උදව් කිරීම
Expert,විශේෂඥ
Remuneration,ගෙවීම
Presumption,අනුමානය
Extradition,පිටුදැකීම
Consumer,පාරිභෝගිකයා
Council,සභාව
Competition,පිටුපස තරඟය
Trade,වෙළඳාම
Manufacturer,නිෂ්පාදකයා
Trader,වෙළෙන්දා
Goods,භාණ්ඩ
Services,සේවා
Price,මිල
Quality,ගුණාත්මකභාවය
Direction,නියෝගය
Labelling,ලේබල් කිරීම
Packaging,පැකේජ් කිරීම
Distribution,බෙදාහැරීම
Transportation,ප්‍රවාහනය
Exploitation,අපහරණය
Warranty,වගකීම් සහතිකය
Guarantee,සහතිකය
Refund,මුදල් ආපසු ලබාදීම
Retail,සිල්ලර
Wholesale,තොග
Hoarding,සඟවා තබාගැනීම
Notice,දැනුම්දීම
Deceptive,මෝහනකාරී
Misleading,භ്രമණීය
Affiliation,සම්බන්ධතාව
Efficiency,කාර්යක්ෂමතාව
Evidence,සාක්ෂි
Witness,සක්ෂිකරු
Legitimacy,නීතිමය වලංගුභාවය
Derogation,විශේෂ ව්‍යවස්ථාව
Supervision,නිරීක්ෂණය
Establishment,ස්ථාපිත කිරීම
Profiling,පැතිකඩ විශ්ලේෂණය
Restriction,සීමා කිරීම
Portability,මාරුකිරීමේ හැකියාව
Representation,නියෝජනය
Delegation,බලය පැවරීම
Sanction,දඩුවම
Mitigation,අවම කිරීම
Accuracy,නිවැරදිභාවය
Deletion,මකාදැමීම
Limitation,සීමා කිරීම
Compatibility,ගැලපීම
Processing,සංස්කරණය
Collection,එකතු කිරීම
Usage,භාවිතය
Analysis,විශ්ලේෂණය
Telecommunication,දුරකථන සන්නිවේදනය
Subscriber,ග්‍රාහකයා
Tariff,ගාස්තු පද්ධතිය
Spectrum,ආවර්තන පරාසය
Frequency,ආවර්තනය
Switching,සම්බන්ධකරණය
Interconnection,අන්තර් සම්බන්ධතාව
Apparatus,උපාංගය
Signal,සංඥාව
Routing,මාර්ගගත කිරීම
Numbering,අංකනය
Identifier,හඳුනාගැනීමේ සංකේතය
Allocation,වෙන් කිරීම
Bandwidth,පරාස පළල
Satellite,උපග්‍රහය
Emission,ප්‍රසරය
Interference,අතුරු ආබාධය
Investigation,විමර්ශනය
Hearing,සවන් දීම
Revocation,අහෝසි කිරීම
Fact,සත්‍යය
Relevancy,අදාළතාව
Court,අධිකරණය
Document,ලේඛනය
Proof,සාධනය
Disproof,අසාධනය
Admission,අග්‍රහණය
Confession,සම්මත ප්‍රකාශය
Testimony,සාක්ෂි ප්‍රකාශය
Judgment,තීන්දුව
Decree,නියෝගය
Obligation,බැඳීම
Motive,හේතුව
Preparation,සූදානම
Conduct,හැසිරීම
Intention,අරමුණ
Negligence,අලක්ෂණය
Good faith,සත්භාවය
Custom,සම්ප්‍රදාය
Opinion,මතය
Handwriting,අත්ලිය
Reputation,ප්‍රසිද්ධිය
Character,චරිතය
Damages,හානි
Inspection,පරීක්ෂාව
Register,ලියාපදිංචිය
Citizen,පුරවැසියා
Authority,අධිකාරිය
Refusal,ප්‍රතික්ෂේපය
Privacy,පුද්ගලිකත්වය
Transparency,පැහැදිලිභාවය
Accountability,වගකීම්භාවය
Commission,කොමිසම
Appeal,අභියාචනය
Fee,ගාස්තුව
Exemption,විවරණය (අදාල නොවන බව)
Security,ආරක්ෂාව
Communication,සන්නිවේදනය
Implementation,ක්‍රියාත්මක කිරීම
Report,වාර්තාව
Function,කාර්යභාරය
Duty,කාර්යය
Offence,අපරාධය
Copyright,ප්‍රකාශන හිමිකම්
Author,කර්තෘ
Work,කෘතිය
Infringement,උල්ලංඝනය
Broadcasting,ප්‍රචාරණය
Reproduction,ප්‍රතිනිර්මාණය
Performance,කාර්ය සාධනය
Ownership,හිමිකාරිත්වය
Injunction,අධිකරණ නියෝගය
Producer,නිෂ්පාදකයා
Performer,කාර්ය සාධකයා
Recording,පටිගත කිරීම
Adaptation,අනුකරණය
Translation,පරිවර්තනය
Rental,කුලියට දීම
Importation,ආනයනය
Display,ප්‍රදර්ශනය
Fixation,ස්ථාපනය
Folklore,ජන සම්ප්‍රදාය
Derivative,අනුසෘජිත
Originality,මූලිකභාවය
Registration,ලියාපදිංචිය
Design,ඩිසයිනය
Patent,පේටන්ට්
Trademark,වෙළඳ ලකුණ
Industrial Design,කාර්මික නිර්මාණය
Personal Information,පුද්ගලික තොරතුරු
Sensitive Personal Information,සංවේදී පුද්ගලික තොරතුරු
Business,ව්‍යාපාරය
Service Provider,සේවා සපයන්නා
Contractor,කොන්ත්‍රාත්කරු
Disclosure,හෙළිදරව් කිරීම
Opt-out,ඉවත් වීමේ අයිතිය
Opt-in,සහභාගී වීමේ අනුමැතිය
Data Breach,දත්ත කඩාවැටීම
Geolocation,භූගෝලීය ස්ථානය
Household,ගෘහස්ථ ඒකකය
Commercial Purpose,වාණිජ අරමුණ
Verification,සත්‍යාපනය
Controller,පාලකයා
Processor,සැකසුම්කරු
Lawful Processing,නීතිමය සැකසීම
Fair Processing,සාධාරණ සැකසීම
Data Protection,දත්ත ආරක්ෂාව
Sensitive Data,සංවේදී දත්ත
Rectification,නිවැරදි කිරීම
Automated Decision-Making,ස්වයංක්‍රීය තීරණ ගැනීම
Third Country,තෙවන රට
Data Protection Officer,දත්ත ආරක්ෂණ නිලධාරී
Information Commissioner,තොරතුරු කොමසාරිස්
Law Enforcement,නීති ප්‍රතිපත්ති ක්‍රියාත්මක කිරීම
Personal Data,පුද්ගලික දත්ත
Individual,පුද්ගලයෙකු
Organisation,සංවිධානය
Correction,නිවැරදි කිරීම
Practice,අභ්‍යාසය
Data Fiduciary,දත්ත භාරකරු
Data Principal,දත්ත හිමිකරු
Data Processor,දත්ත සැකසුම්කරු
Consent Manager,අනුමැති කළමනාකරු
Digital Personal Data,ඩිජිටල් පුද්ගලික දත්ත
Legitimate Use,සාධාරණ භාවිතය
Data Protection Board,දත්ත ආරක්ෂණ මණ්ඩලය
Appellate Tribunal,අභියාචනා විනිශ්චය මණ්ඩලය
Data Auditor,දත්ත විගණක
Significant Data Fiduciary,ප්‍රධාන දත්ත භාරකරු
Grievance,පැමිණිල්ල
Nominee,නාමිත පුද්ගලයා
Incapacity,අකාර්යක්ෂමතාව
Safeguards,ආරක්ෂණ ක්‍රියාමාර්ග
Proceeding,විමර්ශන ක්‍රියාවලිය
Account,ගිණුම
Preference,කැමැත්ත
Content,අන්තර්ගතය
Upload,උඩුගත කිරීම
Interaction,අන්තර්ක්‍රියාව
Activity,ක්‍රියාකාරකම
Browser,බ්‍රවුසරය
Application,යෙදුම
IP Address,අයිපී ලිපිනය
Crash Report,දෝෂ වාර්තාව
System Activity,පද්ධති ක්‍රියාකාරකම
Sensor Data,සෙන්සර් දත්ත
Wi-Fi,වයිෆයි
Advertisement,ප්‍රචාරණය
Measurement,මැනීම
Notification,දැනුම්දීම
Security Risk,ආරක්ෂණ අවදානම
Abuse,අනිසි භාවිතය
Algorithm,ඇල්ගොරිතම
Pattern,රටාව
Server,සර්වර්
Cookie,කුකී
Database,දත්ත සමුදාය
Log,ලොග්
Encryption,සංකේතනය
Export,අපනයනය
Post,පෝස්ට්
Comment,අදහස්
Metadata,මෙටා දත්ත
Feature,විශේෂාංගය
Hashtag,හැෂ්ටැග්
Vendor,විකුණුම්කරු
Partner,හවුල්කරු
Integration,එකාබද්ධ කිරීම
Analytics,විශ්ලේෂණය
Insight,දැනුම්
Audience,ප්‍රේක්ෂකයෝ
Survey,සමීක්ෂණය
Research,පර්යේෂණය
Welfare,සමාජ සුභසාධනය
Bias,පක්ෂපාතය
Violation,උල්ලංඝනය
Moderation,අන්තර්ගත පාලනය
Selfie,ස්වයං ඡායාරූපය
Delivery,භාරදීම
Payment,ගෙවීම
Checkout,ගෙවීම් ක්‍රියාවලිය
Cart,කරට්ටුව
Purchase,මිලදී ගැනීම
Carrier,ප්‍රවාහන සමාගම
Shipment,ප්‍රේෂණය
Transaction ID,ගනුදෙනු හැඳුනුම් අංකය
Browsing,සෙවීම
Clickstream,ක්ලික් ධාරාව
Playback,ප්‍රදර්ශනය
Streaming,ප්‍රවාහනය
Download,බාගත කිරීම
Error,දෝෂය
Failure,අසාර්ථකතාව
Credential,අක්තපත්‍ර
Encryption Protocol,සංකේතන ක්‍රමවේදය
Fraud Detection,වංචා හඳුනාගැනීම
Credit Risk,ණය අවදානම
Score,ලකුණු කිරීම
Inventory,භාණ්ඩ සංග්‍රහය
Subscription,දායකත්වය
History,ඉතිහාසය
Wishlist,අභිලාෂ ලැයිස්තුව
Registry,ලියාපදිංචිය
Review,සමාලෝචනය
Rating,අගය කිරීම
Seller,විකුණුම්කරු
Platform,වේදිකාව
Representative,ප්‍රතිනිධිය
Contracting Entity,ගිවිසුම් පාර්ශවය
Dispute,විවාදය
Inference,අනුමානය
Correspondence,ලිපිවිනිමය
Specification,විස්තර
Pricing,මිල නියම කිරීම
Transaction Record,ගනුදෙනු වාර්තාව
Browsing Pattern,සෙවීමේ රටාව
Session,සැසිය
Consent Mechanism,අනුමැති ක්‍රමය
Verification Service,සත්‍යාපන සේවාව
Anonymization,නිර්නාමිකකරණය
Blocking,අවහිර කිරීම
Legitimate Interest,සාධාරණ රුචිය
Compliance Requirement,අනුකූලතා අවශ්‍යතාව
Buyer,මිලදී ගන්නා පාර්ශවය
User,පරිශීලකයා
Eligibility,සුදුසුකම
Administration,කළමනාකරණය
Logistics,ප්‍රවාහන සේවා
Warehousing,ගබඩා කිරීම
Customs Clearance,කස්ටම්ස් නිදහස් කිරීම
Feedback,ප්‍රතිචාර
Query,ප්‍රශ්නය
Claim,හිමිකම් ඉල්ලීම
Personalization,පුද්ගලීකරණය
Promotion,ප්‍රවර්ධනය
Anonymized Data,අනාමික දත්ත
Statistical Analysis,සංඛ්‍යාත්මක විශ්ලේෂණය
Due Diligence,සම්පූර්ණ පරීක්ෂාව
Regulatory Authority,නියාමන අධිකාරිය
Acquisition,අත්පත් කරගැනීම
Merger,එකාබද්ධ කිරීම
Hyperlink,හයිපර්ලින්ක්
Co-branded Site,සහ-වෙළඳ නාම අඩවිය
Legal Basis,නීතිමය පදනම
Cross-border,දේශ සීමා හරහා
Subprocessor,උප-සැකසුම්කරු
Auditor,විගණක
Storage,ගබඩා කිරීම
Retention Period,රඳවා තබාගැනීමේ කාලය
Aggregation,සංග්‍රහය
Automated Decision,ස්වයංක්‍රීය තීරණය
Machine Learning,යන්ත්‍ර ඉගෙනීම
Tracking,ලුහුබැඳීම
Signature,අත්සන
MAC Address,MAC ලිපිනය
Cookie ID,කුකී හැඳුනුම් අංකය
Browsing Activity,සෙවීමේ ක්‍රියාකාරකම්
Keystroke Pattern,යතුරු පීඩන රටාව
Viewing Data,නරඹන දත්ත
Streaming Data,ප්‍රවාහ දත්ත
Sweepstakes,ලාභ තරඟ
Contest,තරඟය
Demographic,ජනගණන තොරතුරු
Citizenship,පුරවැසිභාවය
Income,ආදායම
Biometric,ජීව විද්‍යාත්මක දත්ත
Fingerprint,ඇඟිලි සලකුණ
GPS Signal,GPS සංඥාව
Bluetooth,බ්ලූටූත්
Camera,කැමරාව
Microphone,මයික්‍රොෆෝනය
Voice Recognition,හඬ හඳුනාගැනීම
Facial Scan,මුහුණු ස්කෑන් කිරීම
License Plate,වාහන ලියාපදිංචි අංකය
Security Camera,ආරක්ෂණ කැමරා
Retail Store,සිල්ලර වෙළඳසැල
Supplier,සපයන්නා
Publisher,ප්‍රකාශකයා
Advertiser,ප්‍රචාරකයා
Analytics Vendor,විශ්ලේෂණ සපයන්නා
Fraud Risk,වංචා අවදානම
Debugging,දෝෂ සෙවීම
Development,සංවර්ධනය
Group,සමූහය
Page,පිටුව
Feed,පෝෂණය
Story,කතාව
Connection,සම්බන්ධතාවය
Interaction Log,අන්තර්ක්‍රියා ලොග්
Duration,කාලය
Donation,පරිත්‍යාගය
Billing,බිල් කිරීම
Delivery Details,භාරදීමේ විස්තර
Device Attribute,උපාංග ලක්ෂණ
Signal Strength,සංඥා ශක්තිය
Storage Space,ගබඩා ඉඩ
Plugin,ප්ලග්-ඉන්
Foreground,ප්‍රධාන තිරය
Background,පසුබිම
Device ID,උපාංග හැඳුනුම් අංකය
Beacon,බීකන් සංඥාව
Connection Speed,සම්බන්ධතා වේගය
Cookie Settings,කුකී සැකසුම්
Third-party Data,තෙවන පාර්ශව දත්ත
API,API අතුරුමුහුණත
SDK,SDK මෘදුකාංග කට්ටලය
Pixel,පික්සල්
End-to-end Encryption,අන්ත සිට අන්ත දක්වා ගුප්තකේතනය
Message Delivery,පණිවිඩ බෙදාහැරීම
Undelivered Message,නොබෙදාහැරුණු පණිවිඩය
Temporary Storage,තාවකාලික ගබඩා කිරීම
Media File,මාධ්‍ය ගොනුව
Status Update,තත්ත්ව යාවත්කාලීන කිරීම
Live Location,සජීවී ස්ථානය
Contact Upload,සම්බන්ධතා උඩුගත කිරීම
Address Book,ලිපින පොත
Community,ප්‍රජාව
Broadcast List,ප්‍රචාරණ ලැයිස්තුව
Support Query,සහාය ඉල්ලීම
Error Code,දෝෂ කේතය
App Version,යෙදුම් සංස්කරණය
Crash Data,අසාර්ථකතා දත්ත
Timestamp,කාල සලකුණ
Last Seen,අවසාන සක්‍රීය කාලය
Push Notification,තල්ලු දැනුම්දීම
Two-step Verification,දෙ-පියවර සත්‍යාපනය
PIN Code,PIN කේතය
Encryption Key,ගුප්තකේතන යතුර
Backup,උපස්ථ ගොනුව
Cloud Service,වලාකුළු සේවාව
Spam Detection,ස්පෑම් හඳුනාගැනීම
Abuse Prevention,අපයෝජන වැළැක්වීම
Account Ban,ගිණුම් තහනම
User Report,පරිශීලක වාර්තාව
Legal Request,නීතිමය ඉල්ලීම
Member,සාමාජිකයා
Visitor,නරඹන්නා
Profile,පැතිකඩ
Endorsement,අනුමැතිය
Skill,දක්ෂතාවය
Recruiter,නියෝජකයා
Connection Request,සම්බන්ධතා ඉල්ලීම
Invitation,ආරාධනය
Feed Content,පෝෂණ අන්තර්ගතය
Learning Video,ඉගෙනුම් වීඩියෝව
Premium Service,ප්‍රිමියම් සේවාව
Billing Information,බිල් කිරීමේ තොරතුරු
Resume,ජීව විස්තරය
Job Application,රැකියා අයදුම
Calendar Sync,දිනදර්ශන සමමුහුර්තය
Professional Identity,වෘත්තීය හැඳුනුම
Engagement,සම්බන්ධතාවය
Ad Tag,ප්‍රචාරණ ටැග්
Pixel Tag,පික්සල් ටැග්
Device Identifier,උපාංග හැඳුනුම්කාරකය
Proxy Server,ප්‍රොක්සි සේවාදායකය
ISP,අන්තර්ජාල සේවා සපයන්නා
Campaign,ප්‍රචාරණ වැඩසටහන
Lead Generation,පාරිභෝගික සෙවීම
Marketing,වෙළඳ ප්‍රචාරණය
Identification Data,හඳුනාගැනීමේ දත්ත
Contact Information,සම්බන්ධතා තොරතුරු
Financial Statements,මුල්‍ය ප්‍රකාශන
Creditworthiness,ණය විශ්වාසනීයතාව
Surveillance Recording,නිරීක්ෂණ වාර්තාව
Nationality,ජාතිකත්වය
Transaction History,ගනුදෙනු ඉතිහාසය
Cheque Return,චෙක්පත් ප්‍රතික්ෂේපය
Income Details,ආදායම් විස්තර
Browser Version,බ්‍රව්සර සංස්කරණය
Operating System,ක්‍රියාත්මක පද්ධතිය
Usage Pattern,භාවිත රටාව
Marketing Preference,වෙළඳ අභිරුචිය
Biometric Data,ජීව විද්‍යාත්මක දත්ත
Facial Recognition,මුහුණු හඳුනාගැනීම
Dactyloscopy,ඇඟිලි සලකුණු විද්‍යාව
Health Record,සෞඛ්‍ය වාර්තාව
Child Data,ළමා දත්ත
Fraud Prevention,වංචා වැළැක්වීම
Money Laundering,මුදල් පිරිසිදු කිරීම
Regulatory Compliance,නියාමන අනුකූලතාව
Credit Bureau,ණය තොරතුරු මධ්‍යස්ථානය
Personally Identifiable Information,පුද්ගලික හඳුනාගත හැකි තොරතුරු
Sensitive Information,සංවේදී තොරතුරු
Retail Entity,සිල්ලර ඒකකය
Natural Person,ස්වභාවික පුද්ගලයා
Corporate Entity,සමාගම් ඒකකය
Guardian Name,භාරකරුගේ නම
Maiden Name,කන්‍යා නාමය
Driving License,රියදුරු බලපත්‍රය
Employee Number,සේවක අංකය
Digital Signature,ඩිජිටල් අත්සන
Iris Data,අක්ෂි දත්ත
Photographic Image,ඡායාරූප රූපය
Demographic Data,ජනගණන දත්ත
Insurance Policy,රක්ෂණ ප්‍රතිපත්තිය
Pension Number,පෙන්ශන් අංකය
TIN Number,බදු හඳුනාගැනීමේ අංකය
Assets,වත්කම්
Liabilities,බැඳීම්
Verification Provider,සත්‍යාපන සපයන්නා
Payment Provider,ගෙවීම් සපයන්නා
Audit Review,විගණන සමාලෝචනය
Firewall,ෆයර්වෝල් ආරක්ෂාව
Dispute Resolution,විවාද විසඳීම
Preamble,පූර්විකාව
Digital economy,ඩිජිටල් ආර්ථිකය
Consumer trust,පාරිභෝගික විශ්වාසය
Domestic written laws,දේශීය ලිඛිත නීති
International legal instruments,ජාත්‍යන්තර නීතිමය මෙවලම්
Date of operation,ක්‍රියාත්මක වන දිනය
Speaker certificate,කථානායක සහතිකය
Gazette publication,ගැසට් පත්‍රයේ පළ කිරීම
Wholly,සම්පූර්ණයෙන්ම
Partly,අර්ධ වශයෙන්
Domiciled,වාසය කරන
Ordinarily resident,සාමාන්‍යයෙන් පදිංචි
Incorporated,සංස්ථාපිත
Established,පිහිටුවන ලද
Offering goods,භාණ්ඩ සැපයීම
Offering services,සේවා සැපයීම
Specific targeting,නිශ්චිත ඉලක්කගත කිරීම
Specific monitoring,නිශ්චිත නිරීක්ෂණය
Personal purposes,පුද්ගලික අරමුණු
Domestic purposes,ගෘහස්ථ අරමුණු
Household purposes,ගෘහ ඒකක අරමුණු
Inconsistency,අනනුකූලතාව
Prevail,බලපැවැත්වීම
Controller obligation,පාලකයාගේ වගකීම
Specified purpose,නිශ්චිත අරමුණ
Explicit purpose,පැහැදිලි අරමුණ
Legitimate purpose,නීත්‍යානුකූල අරමුණ
Initial purpose,මුල් අරමුණ
Archiving purpose,ලේඛනාගාර අරමුණ
Historical research,ඓතිහාසික පර්යේෂණ
Adequate data,ප්‍රමාණවත් දත්ත
Relevant data,අදාළ දත්ත
Outdated data,යාවත්කාලීන නොවූ දත්ත
Undue delay,අනවශ්‍ය ප්‍රමාදය
Identification form,හඳුනාගැනීමේ ආකෘතිය
Longer period,දිගු කාලසීමාව
Integrity and confidentiality,අඛණ්ඩතාව සහ රහස්‍යභාවය
Access controls,ප්‍රවේශ පාලන
Unlawful processing,නීතිවිරෝධී සැකසීම
Intelligible form,තේරුම්ගත හැකි ආකෘතිය
Easily accessible form,පහසුවෙන් ප්‍රවේශ විය හැකි ආකෘතිය
Catalogued records,නාමාවලීගත වාර්තා
Governance structure,පාලන ව්‍යුහය
Internal oversight,අභ්‍යන්තර අධීක්ෂණය
Periodic monitoring,කාලාන්තර නිරීක්ෂණය
Written instructions,ලිඛිත උපදෙස්
Data subject request,දත්ත හිමිකරුගේ ඉල්ලීම
Request granted,ඉල්ලීම අනුමත කිරීම
Request refused,ඉල්ලීම ප්‍රතික්ෂේප කිරීම
Reasons for refusal,ප්‍රතික්ෂේප කිරීමේ හේතු
Availability of appeal,අභියාචනා කිරීමේ හැකියාව
Technical feasibility,තාක්ෂණික හැකියාව
Operational feasibility,මෙහෙයුම් හැකියාව
Additional information,අතිරේක තොරතුරු
Parental authority,මව්පිය අධිකාරිය
Legal guardian,නීත්‍යානුකූල භාරකරු
Mentally unfit,මානසිකව අයෝග්‍ය
Physically unfit,ශාරීරිකව අයෝග්‍ය
Administrator,පරිපාලකයා
Deceased data subject,මියගිය දත්ත හිමිකරු
Date of demise,මරණ දිනය
Automated processing,ස්වයංක්‍රීය සැකසීම
Individual decision,පුද්ගලික තීරණය
Irreversible impact,ආපසු හැරවිය නොහැකි බලපෑම
Continuous impact,අඛණ්ඩ බලපෑම
Performance of contract,ගිවිසුම ක්‍රියාත්මක කිරීම
Applicable criteria,අදාළ නිර්ණායක
Decision review,තීරණ සමාලෝචනය
Appeal determination,අභියාචනා තීරණය
Allowed appeal,අනුමත කළ අභියාචනය
Disallowed appeal,ප්‍රතික්ෂේප කළ අභියාචනය
Aggrieved party,අතෘප්තිමත් පාර්ශවය
Core activities,මූලික ක්‍රියාකාරකම්
Systematic monitoring,ක්‍රමවත් නිරීක්ෂණය
Scale and magnitude,පරිමාණය සහ විශාලත්වය
Risk of harm,හානි අවදානම
Academic qualification,අධ්‍යාපන සුදුසුකම
Professional qualification,වෘත්තීය සුදුසුකම
Technical skills,තාක්ෂණික කුසලතා
Capacity building,ධාරිතා වර්ධනය
Processing operation,සැකසුම් ක්‍රියාකාරකම
Joint controllers,සම පාලකයන්
Subject matter,විෂය කරුණ
